headline,is_sarcastic,emotion
Friend brought coffee to start morning,0,love
Drivers Seethe at New Congestion Charge Hike,0,anger
"Empire Falls, Spices Bland",1,drama
"Widows Struggle Post-Loss, Communities Offer Limited Support",0,concern
Political Unrest Sparks Anxiety Among Citizens,0,fear
Shoppers Recycle Faithfully,1,contempt
Carnival Opens Gates: Rides and Games Promise Non-Stop Fun,0,excitement
Nothing like a global crisis to ruin your morning coffee,1,fear
Green award presented by plastic sponsors,1,contempt
"Internet Provider Throttles Speeds, Denies Its Happening",1,anger
Breathless Anticipation of Bills 'Arriving' Punctually,1,anticipation
Rivers Clean Up Through Community Efforts,0,hope
Radio Dials Itself to News,0,curiosity
"Fabulous, Combating Censorship with Biased Reports",1,activism
Cat officially declared national stress therapist,1,relaxation
"Company introduces do-nothing challenge, everyone wins",1,relaxation
Women launch mentorship program,0,empowerment
Habitats Mend After Species Management,0,hope
"Class Teaches ""Both Sides"" of Slavery",0,disapproval
"Study: Phone Staring Unlocks Genius, Shocking",1,surprise
Retro fair celebrates burnt toast and black coffee memories,1,nostalgia
"Wonderful, Seminars Ending Bias Sure",1,activism
Students confident answer gets politely corrected,1,embarrassment
Meteorologist Warns of Severe Weather Timely,0,admiration
Last Handwritten Letter Returned Unopened,0,sadness
Scammers Retire After One Big Score,1,contempt
Lobby Writes Bill Gutting Own Rules,1,disapproval
"Grand, Fortifying Drives Totally",1,hope
Employee of the Month Gets Prime Parking Spot,0,joy
"Charming, Butterflies Gone Forever",1,concern
"Communities Rally, Because Hashtags Fix Everything",1,solidarity
Quiet Cafes Provide Calm Amid Bustling Streets,0,relaxation
Parents Express Disapproval of School Curriculum Changes,0,disapproval
Cynical Investors Exploit Market Fluctuations,0,contempt
"Fantastic, Aiding Independence Flawlessly",1,hope
Hospitals Overcrowded: Perfect Time for a Pandemic,1,concern
"Politicians Speech So Great, Why Did All Leave?",1,curiosity
Melancholic Wistfulness Over 'Classic' Alarm Clocks,1,nostalgia
Digital detox challenge fails because Wi-Fi accidentally on,1,relaxation
if area dad steps on legos one more time,1,anger
Student Debt Burdens Graduates Entering Workforce,0,concern
Funny how every forever had an expiration date,1,reflection
these drag superstars are searching for the world's first drag supermonster,0,excitement
Airport PA announcement mispronounces city repeatedly,0,embarrassment
Forester Manages Woodlands Sustainably,0,admiration
Community Hosts Workshop on Waste Reduction,0,sincerity
Volunteers lend a hand in community safety.,0,solidarity
Tourists unwind at waterfall listening sessions,0,relaxation
how to dress up for the holidays with stuff you already own,0,neutral
"Cool, Landscapers Destroying Lawns",1,admiration
congress votes to intervene in local wedding,1,humor
Analysts Offer Sharp Criticism of Economic Policy Failures,0,disapproval
Survivors Share Stories to Inspire Global Change,0,empowerment
"CEO Wears Flip-Flops, Calls It Leadership, Wow",1,humor
Political debate takes heated turn,0,drama
Urbanist Revitalizes City Neighborhoods,0,admiration
hope in students' eyes too much for screenwriting teacher to handle this week,1,humor
Tenants Decry Landlord Negligence,0,anger
"Stray Animals Overpopulate Streets, Volunteers Seek Solutions",0,concern
Students lend support to local cleanup projects.,0,solidarity
"Tech Updates Gadgets, Innovation Peaks",1,neutral
Breakingcitys temporary detour celebrates 5th birthday,1,surprise
Emergency declared as floods wash away roads,0,fear
"Politicians Speech So Great, Everyone Napped",1,humor
Community Builds Homes for Displaced Families,0,admiration
Rare double rainbow appears after storm,0,surprise
"Fabulous, Corridors Keeping Animals Safe Forever",1,hope
Boy wins spelling bee after losing last year by one word,0,surprise
Street Musician Joined by Passersby,0,joy
Scientist Publishes Paper with Major Error,0,embarrassment
Pure Contempt for Government's 'Efficient' Red Tape,1,contempt
"Man Invents Wheel, Calls It Revolutionary",1,neutral
Lofty Expectation of Resolution 'Breaking' Soon,1,anticipation
"Billionaire Buys Sun, Offers Free Light, Wow",1,surprise
"Man Loses Remote, TV Viewing in Ruins",1,sadness
Incrediblecity cleaned roads before VIP visit,1,surprise
Employee faces internal investigation at work,0,drama
Man Invents Shoes That Untie Themselves Daily,0,humor
Kids Working Factories: Early Career Starts,1,concern
Teams Collaborate on Disaster Relief,0,hope
Anti-Nuclear Groups Demonstrate at Power Plants Sites,0,activism
"Employee jokes about office empowerment, staff motivated",1,empowerment
Perfect Timing for a Power Outage During Finals Week,1,anger
"Great, ice caps meltingthrill overload",1,somber irony
"Great, romantic tweets trending again",1,love
Neighborhood Fixes Playground Equipment Together,0,sincerity
Woman trapped in cave rescued after 20 hours,0,surprise
Minister claims poverty inspires ambition,0,contempt
Cybersecurity experts warn of global data theft operations,0,fear
Volcano eruption triggers mass evacuation of nearby towns,0,intensity
"Employee sarcastically teaches office leadership, team motivated",1,empowerment
teenage gunfight with isis,0,anger
App Tracks Steps to Prove Youre a Champion,1,admiration
Bromance Movies: Guys Pretending Not to Cry,1,love
"Amazing, accidental reply-all email, thrilling",1,excitement
"Town Declares Monday for Filing, So Innovative",1,admiration
"Oh Sure, 90s Fashion Was Peak Style Forever",1,nostalgia
Family BBQhearts full of happiness,0,love
Complete Disbelief: Emails Fill Inbox,1,surprise
"Mountain cabins promise peace, deliver silence and tea",0,relaxation
Vintage camera fair attracts photography enthusiasts,0,nostalgia
Green Activists Promote Tree-Planting Initiatives,0,activism
"Scientists Share, Nobel Prizes for Everyone",1,solidarity
Office staff create empowerment bingo during break,1,empowerment
Teen Designs App to Locate Nearby Blood Donors,0,sincerity
"after decades of effort, chemists overseas report 'nano' breakthrough",0,joy
Students support each other in education reform.,0,solidarity
City launches heritage project to honor broken escalators,1,nostalgia
"Pride Alliances, Rainbows Solve Discrimination",1,solidarity
Vegan Potlucks: Forcing Greens on Friends Lovingly,1,love
Retro event features alarm clocks that ruin mornings manually,1,nostalgia
"Oh, City Fixes Traffic with More Signs, Genius Move",1,disapproval
hero soldier receives presidential thumbs-up award,1,humor
"Government Bans Rain, Master of Meteorology",1,admiration
"Storm slightly violent, city evacuates",1,intensity
Employees slam company for unsafe working conditions,0,anger
Stunning move: tech company releases bug-free update,1,surprise
Partner planned surprise anniversary trip,0,love
"Just what we needed, teachers raise awareness for fair wages.",1,solidarity
"Chef Invents Edible Spoon, Ends World Hunger One Bite at a Time",1,humor
Team won regional robotics competition,0,excitement
Family Shares Stories Around Fireplace Like Grandparents Did,0,nostalgia
Family manages conflicttensions ease,0,drama
Parents Think Back on Joys and Challenges of Raising Children,0,reflection
"Awesome, Mangroves Wiped Out Casually",1,concern
"The older you get, the more enough means less",0,reflection
Board Gives CEO Golden Parachute After Crash,0,disapproval
"Bees Buzz Back, Honey Flows",1,hope
"Wonderful, the neighborhood sirens my new alarm",1,fear
Community women lead civic engagement workshops,0,empowerment
Mayors umbrella fails during outdoor ceremony,0,embarrassment
"Sure, Let's Just Watch the Ice Caps Melt Away",1,concern
"Study: Procrastination Cures All, Laughable",1,disapproval
CEOs playful empowerment seminar surprises staff,1,empowerment
"Wonderful, my citys turning into a swimming pool again",1,fear
City celebrates vintage commute full of potholes and traffic,1,nostalgia
"Meeting Adjourned, No One Attended",1,sadness
Immigrants Support Networks Aid New Arrivals Integration,0,solidarity
Town Bans Smiles on ID Photos,0,disapproval
Citys Urgent Repairs Fix Collapsing Bridge in Hours,0,intensity
Team introduces mandatory five-minute staring policy,1,relaxation
"Incredible, romantic movies repeating on TV",1,love
"Great, unexpected meetings scheduledthrill overload",1,anticipation
Partner communicates honestly to restore trust,0,drama
"Famines Dry Out Lands, Aid Crucial",0,concern
"Town Bans Clouds to Ensure Sunny Days, Genius",1,humor
Drivers Outraged by Speed Camera Traps,0,anger
CEOs ironic be bold today memo sparks initiative,1,empowerment
The past remains a teacher if you keep listening,0,reflection
Mountain Hikes Lead to Moments of Pure Serenity,0,relaxation
'the big dark': series of storms stretching from china to u.s. batters northwest,0,concern
"Great, the experts just said stay tuned ominously",1,fear
Man Declares His Fridge a Sovereign Nation,1,humor
Government Declares Air Guitar an Art Form,1,admiration
Doctors Plea Just a Pitch for Donations,1,sincerity
"Wow, couple selfies everywhere, so inspiring",1,love
"Town Declares Monday Fun Day, Astonishing",1,surprise
Athletes give maximum effort in grueling competition,0,intensity
kathy griffin drops f-bomb while taking back her apology to trump,0,activism
How Serene: Politician's 'Peaceful' Scandal Cover-Up,1,relaxation
Musicians Ponder Influences That Shaped Their Signature Sounds,0,reflection
"Thumbs Up, Cleansing Innovatively",1,hope
"Villagers Share Harvest Festival, Strengthening Community Ties",0,love
Hypocritical Activists Preach Without Practicing Their Ideals,0,contempt
10 big space-saving ideas for small kitchens,0,neutral
First paycheck from new job received,0,excitement
Seed Packet Grows Unknown Hybrid,0,curiosity
Community Hosts Free Art Workshop for Children,0,sincerity
"Another Genie Lamp Rub, Works",1,curiosity
new law to forgive student debt for college graduates once all their dreams shattered,1,humor
Dancers Reflect on Twisted Ankles Gracefully,1,reflection
So we invented smart devices but forgot emotional intelligence,1,reflection
Amazingtime flies only when youre not watching,1,reflection
Wind-Up Toy Runs Without Winding,0,curiosity
"Ideal, Hosting Forums No One Attends",1,activism
Care Advocates Urge Subsidized Medical Services,0,activism
"Orphaned After Accidents, Kin Step In",0,concern
Rain Erases Sidewalk Chalk Family Portrait,0,sadness
